index,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
130,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm712848,ca,41.0,25859.0,blue,black,infiniti financial services,22700.0,21750.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
131,2013,hyundai,Santa Fe,Limited,SUV,automatic,km8srdhf0du002596,ca,5.0,14974.0,white,gray,hyundai buybacks,28300.0,27000.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
132,2013,hyundai,Genesis,5.0 R-Spec,Sedan,automatic,kmhgc4dh7du220016,ca,47.0,21463.0,gray,black,hyundai motor america/co car,27100.0,27400.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
133,2013,hyundai,Equus,Signature,Sedan,automatic,kmhgh4jh9du063479,ca,41.0,22961.0,gray,black,hyundai buybacks,31500.0,25000.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
134,2013,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1dm302069,ca,37.0,21144.0,white,black,nissan infiniti lt,23100.0,24250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
135,2013,hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae9du490167,ca,26.0,56651.0,red,beige,hyundai motor finance,10250.0,10700.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
136,2013,hyundai,Santa Fe,Limited,SUV,automatic,km8srdhf8du000644,ca,5.0,11439.0,white,brown,hyundai motor america/co car,28500.0,30800.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
137,2013,hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh348469,ca,44.0,39935.0,silver,gray,enterprise vehicle exchange/orange,11250.0,11000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
138,2013,infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek0dm900927,ca,41.0,20317.0,gray,black,nissan infiniti lt,25200.0,26250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
139,2013,hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh342001,ca,2.0,37436.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,11400.0,8800.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
